Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Kidnapping/Abduction,Sex Offenses,Rape,Sodomy,Fondling,Statutory Rape,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,Fraud Offenses,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Impersonation,Larceny/Theft Offenses,Pocket picking,Purse snatching,Shoplifting,Theft From Building,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug/Narcotic Offenses,Drug/Narcotic Violations,Drug Equipment Violations,Weapon Law Violations
430,95,221,114,1,13,3,1,2,3,4,0,84,29,167,0,0,18,8,6,1,274,6,1,64,16,17,11,159,15,10,4,87,58,29,13
3,0,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,12,0,0,0,0,4,1,7,1,0,3,9,4,5,4
34,1,16,17,0,1,1,0,0,0,0,0,11,4,16,0,0,7,1,4,1,40,0,0,4,4,6,0,26,1,2,2,20,12,8,1
7,1,4,2,2,2,2,0,0,0,0,0,3,0,8,0,0,0,0,0,0,17,0,0,0,1,5,1,10,1,0,1,11,7,4,0
22,7,12,3,0,2,0,2,0,0,0,0,2,0,6,0,0,1,0,1,0,12,0,0,0,2,0,1,9,3,1,0,2,2,0,0
198,29,76,93,2,22,7,15,0,0,0,0,35,7,59,0,0,29,21,8,0,100,0,1,3,11,9,1,75,8,1,7,213,105,108,4
39,5,16,18,0,2,0,2,0,0,0,0,8,1,17,0,0,2,0,0,2,16,0,0,0,0,4,1,11,0,0,1,7,4,3,1
32,8,24,0,0,2,2,0,0,0,0,0,31,1,30,0,0,5,3,2,0,61,0,0,0,2,1,0,58,2,0,0,52,29,23,1
4,1,2,1,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,1,24,17,7,3
175,11,114,50,3,15,6,9,0,0,0,0,16,40,64,0,0,29,3,3,20,216,0,2,10,22,14,6,162,10,3,1,229,134,95,14
40,4,18,18,0,3,2,1,0,0,0,0,22,11,10,0,0,10,4,4,2,85,0,0,2,0,5,0,78,6,1,3,29,16,13,0
1525,226,690,609,10,52,43,5,3,0,8,1,183,168,693,0,0,371,192,174,5,1615,0,0,304,1,336,45,926,94,51,200,1740,1006,734,72
24,8,10,6,0,2,1,1,0,0,0,0,8,1,7,0,0,3,1,1,1,23,0,0,3,2,2,1,15,6,0,2,40,20,20,2
9,2,5,2,1,1,1,0,0,0,0,0,6,0,9,0,0,1,0,0,1,10,0,0,0,1,0,0,9,1,0,0,27,18,9,1
85,25,57,3,0,4,1,3,0,0,0,0,79,19,58,0,0,21,10,10,1,103,0,0,8,0,0,0,95,7,2,3,35,23,12,12
2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,5,0,0,0,2,0,0,3,0,0,0,8,4,4,0
73,16,44,13,0,10,3,7,0,0,0,0,35,13,49,0,0,11,2,4,5,70,0,0,8,5,10,0,46,10,1,5,93,52,41,2
61,9,25,27,0,8,3,5,0,0,0,0,10,4,19,0,0,5,1,1,3,35,0,0,3,3,6,1,20,3,0,6,88,42,46,9
75,23,29,23,1,10,7,3,0,0,0,0,64,28,24,0,0,10,2,8,0,107,0,0,9,11,11,3,73,4,0,3,111,69,42,3
25,8,11,6,0,0,0,0,0,0,0,0,9,1,7,0,0,1,0,1,0,12,0,0,1,0,1,2,8,0,0,1,21,12,9,4
55,21,31,3,2,6,4,2,0,0,4,0,28,9,25,0,0,6,1,5,0,51,0,1,7,2,5,0,36,5,1,2,71,43,28,0
20,1,16,3,1,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,4,0,0,0,0,0,0,4,5,0,0,4,1,3,1
24,8,14,2,0,0,0,0,0,0,1,0,5,4,6,0,0,4,0,1,3,24,0,0,5,6,2,0,11,2,0,0,25,19,6,2
17,12,5,0,0,1,1,0,0,0,0,0,14,6,0,0,0,3,0,3,0,18,0,0,0,0,1,0,17,1,1,1,23,10,13,0
35,13,10,12,0,1,1,0,0,0,0,0,20,0,21,0,0,5,0,2,3,24,0,1,1,0,4,0,18,2,1,1,66,38,28,14
577,197,228,152,5,22,2,0,6,0,4,0,527,50,219,0,0,50,23,21,2,502,0,0,80,5,28,0,389,41,23,13,153,135,18,12
35,15,15,5,0,9,0,9,0,0,1,0,5,6,15,0,0,5,1,2,2,24,0,0,6,3,4,1,10,2,0,2,40,22,18,3
80,15,41,24,0,5,1,3,1,0,0,0,29,3,42,0,0,8,0,4,4,59,0,0,3,1,0,0,55,2,2,5,46,28,18,3
2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
36,1,12,23,0,1,0,1,0,0,0,0,13,0,31,0,0,5,3,2,0,20,0,0,2,0,1,0,17,0,2,0,8,7,1,0
69,16,27,26,0,4,3,0,0,0,0,0,29,10,34,0,0,6,0,6,0,75,0,0,5,2,2,0,66,8,3,0,61,32,29,4
80,5,37,38,0,4,2,2,0,0,2,0,9,3,19,0,0,4,3,1,0,29,0,0,1,2,2,0,24,2,0,3,31,18,13,4
65,16,32,17,3,15,13,1,1,0,3,0,9,13,24,0,0,9,2,3,4,53,0,0,2,7,4,1,39,6,3,19,197,96,101,5
1556,287,976,293,39,57,48,8,1,0,2,0,410,229,1049,0,0,577,204,301,72,3190,1,0,569,535,1147,131,802,418,52,124,1301,698,603,73
30,3,23,4,0,2,2,0,0,0,0,0,11,0,16,0,0,3,0,3,0,47,0,0,0,0,7,0,40,3,0,4,61,22,39,3
133,30,67,36,1,7,5,2,0,0,2,0,63,15,32,0,0,10,2,7,1,138,0,0,16,12,16,5,89,12,6,8,38,30,8,17
539,99,295,145,2,13,7,1,2,3,4,0,85,48,312,2,0,34,8,17,8,461,3,5,116,40,91,10,196,54,20,2,98,79,19,9
2520,678,976,866,38,163,93,4,65,1,11,0,828,237,1166,0,0,529,273,201,55,4079,1,1,690,161,734,134,2340,379,90,95,1176,642,534,116
