Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Kidnapping/Abduction,Sex Offenses,Rape,Sodomy,Fondling,Statutory Rape,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,Fraud Offenses,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Impersonation,Larceny/Theft Offenses,Pocket picking,Purse snatching,Shoplifting,Theft From Building,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug/Narcotic Offenses,Drug/Narcotic Violations,Drug Equipment Violations,Weapon Law Violations
26,4,20,2,0,2,2,0,0,0,0,0,13,3,34,0,0,42,7,0,0,40,0,0,3,14,15,0,8,8,5,1,7,7,0,0
98,23,48,27,2,9,3,1,0,5,0,0,13,4,23,0,1,25,10,0,14,25,1,0,2,4,1,1,16,8,0,2,27,27,0,12
82,41,34,7,0,5,3,1,0,1,0,0,18,1,47,0,1,11,6,2,3,66,1,0,13,9,2,1,40,2,4,1,21,21,0,4
15,11,4,0,0,1,1,0,0,0,0,0,2,0,12,1,0,8,3,0,4,9,0,0,0,2,0,0,7,1,0,0,1,1,0,0
107,25,78,4,1,7,2,0,3,2,1,0,17,3,119,0,0,14,4,3,5,137,0,0,11,29,25,0,72,4,0,1,7,6,1,2
114,27,72,15,0,11,5,2,1,3,2,0,22,19,109,5,0,91,45,11,35,394,2,2,115,50,57,3,165,11,4,7,16,16,0,3
62,8,39,15,0,10,2,0,8,0,1,0,22,18,32,3,1,128,63,3,61,115,0,5,5,18,21,1,65,1,0,3,18,18,0,3
"2,891",390,"1,892",609,35,143,53,13,60,17,5,1,374,67,961,17,8,464,295,15,152,"1,575",4,2,309,181,380,94,605,153,176,82,753,753,0,111
4,3,0,1,0,0,0,0,0,0,0,0,2,0,2,5,0,4,3,0,1,1,0,0,0,1,0,0,0,1,0,1,3,3,0,0
108,18,62,28,0,11,1,4,2,3,0,0,14,8,50,3,0,55,32,4,19,113,0,0,38,16,14,2,43,2,0,1,9,9,0,3
221,36,139,46,3,13,4,0,9,0,1,0,75,24,124,5,0,229,118,37,5,428,5,0,87,102,108,7,119,11,10,11,17,17,0,3
12,1,11,0,0,1,0,0,1,0,0,0,3,3,5,0,0,31,2,5,0,20,0,0,0,4,6,0,10,0,0,1,2,2,0,1
202,51,111,40,0,24,5,8,0,11,0,0,89,17,149,4,1,57,47,4,5,304,8,3,126,44,1,0,122,12,9,7,64,64,0,12
377,84,259,34,7,43,16,9,14,4,8,0,54,16,133,0,0,96,74,6,16,381,4,4,139,103,40,14,77,20,9,6,54,54,0,12
68,10,43,15,1,13,2,2,4,5,0,0,14,15,33,1,1,64,34,6,21,139,0,1,58,16,17,0,47,10,3,2,23,23,0,8
101,16,77,8,0,7,6,0,1,0,2,0,21,7,38,7,0,54,1,38,0,394,0,0,212,3,69,0,110,5,0,1,8,8,0,0
42,3,36,3,0,0,0,0,0,0,1,0,12,1,14,0,0,2,0,2,0,77,0,0,48,15,7,0,7,0,0,0,6,6,0,1
94,29,51,14,1,9,2,0,3,4,1,0,22,8,71,0,0,51,37,1,13,118,1,0,49,11,3,0,54,6,0,2,17,17,0,3
11,0,8,3,0,1,0,0,1,0,0,0,1,0,6,0,0,4,1,0,2,9,0,0,1,1,0,0,7,0,0,0,1,1,0,1
45,12,27,6,0,4,1,2,1,0,0,0,10,12,22,1,0,31,26,0,5,45,0,1,5,4,4,0,31,8,1,4,7,7,0,8
28,20,3,5,0,3,3,0,0,0,1,0,7,0,0,0,0,11,10,1,0,5,0,0,0,2,0,1,2,1,0,0,1,1,0,0
24,11,9,4,0,0,0,0,0,0,0,0,8,1,18,0,0,20,9,4,6,38,0,1,7,5,0,1,24,5,0,0,4,4,0,2
186,30,132,24,2,16,4,3,6,0,2,0,34,21,99,1,0,116,61,15,37,196,0,2,16,18,30,0,130,10,8,14,61,61,0,6
62,25,30,7,0,2,1,0,0,1,0,0,11,3,20,0,0,8,8,0,0,51,0,0,18,2,0,0,31,6,1,0,2,2,0,1
5,0,3,2,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,0,0,3,0,0,0,0,1,0,2,1,0,0,5,5,0,0
51,17,26,8,1,15,1,2,1,5,1,0,17,4,26,0,0,17,14,2,1,73,0,0,55,2,3,1,12,4,2,7,17,16,1,7
25,4,15,6,0,2,1,0,1,0,0,0,6,4,22,1,0,28,18,0,8,44,0,0,7,3,3,0,31,0,0,0,7,7,0,0
87,18,57,12,0,18,7,3,2,4,0,0,12,8,52,1,0,44,32,2,9,150,2,1,80,11,18,0,38,6,0,2,16,16,0,5
189,45,126,18,1,4,2,0,0,2,3,0,36,8,63,0,2,36,12,7,14,73,0,0,17,3,4,0,49,8,3,6,67,67,0,11
14,6,4,4,0,2,2,0,0,0,0,0,1,1,6,0,0,2,1,0,1,9,0,0,0,3,1,0,5,2,0,2,14,14,0,5
353,94,190,69,2,29,16,4,4,4,2,0,57,25,186,3,1,164,107,7,49,370,4,5,60,43,57,1,200,28,8,6,65,65,0,12
1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,2,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
52,8,36,8,0,2,2,0,0,0,1,0,12,4,39,0,0,52,24,2,23,62,0,1,20,14,8,0,19,8,3,7,21,21,0,4
50,9,30,11,0,7,5,0,1,1,0,0,5,2,47,0,1,61,31,5,25,56,0,0,2,12,16,1,25,3,1,1,5,5,0,0
813,232,518,63,9,78,28,8,24,17,6,0,271,33,404,9,2,132,101,1,30,509,28,5,113,59,58,4,242,43,31,24,85,84,1,42
18,5,12,1,0,0,0,0,0,0,0,0,7,4,17,1,0,14,1,12,1,40,0,0,16,11,7,2,4,1,0,0,2,2,0,0
595,150,337,108,1,69,25,10,9,12,5,0,73,22,247,5,3,160,106,15,36,510,1,1,227,50,49,5,177,31,11,28,84,83,1,18
31,3,11,17,0,0,0,0,0,0,0,0,5,0,6,0,0,8,5,1,2,9,0,0,2,1,0,0,6,1,1,0,0,0,0,0
7,1,5,1,0,0,0,0,0,0,0,0,3,0,3,0,0,12,3,2,6,11,0,0,0,1,0,0,10,0,0,2,4,4,0,1
69,13,43,13,2,2,1,1,0,0,0,0,8,0,40,0,0,18,11,1,6,44,0,0,10,7,2,1,24,2,1,1,18,17,1,3
973,285,426,262,6,41,28,4,8,1,2,0,219,55,268,2,3,275,66,67,142,955,36,0,130,123,150,27,489,60,61,10,153,153,0,28
370,65,232,73,2,16,5,1,10,0,1,0,69,15,141,0,0,63,16,30,0,307,0,1,81,10,29,6,180,28,10,0,54,40,14,14
68,20,40,8,0,7,1,3,2,1,0,0,12,10,21,2,1,45,36,3,6,190,6,0,110,6,9,0,59,14,4,2,15,15,0,6
33,3,15,15,0,0,0,0,0,0,0,0,15,4,57,1,0,30,0,30,0,103,38,8,11,25,16,0,0,7,0,0,21,15,6,2
40,7,21,12,0,4,0,0,0,2,0,0,16,6,22,0,0,30,8,3,19,28,0,1,1,2,9,0,15,4,1,2,5,5,0,4
563,125,275,163,2,35,8,3,10,13,1,0,71,16,250,2,1,182,116,8,57,548,17,3,201,68,84,6,169,62,39,17,47,47,0,21
125,41,67,17,2,13,5,3,2,3,3,0,17,12,35,0,0,18,16,0,2,40,0,1,5,6,3,0,25,4,4,4,17,17,0,3
32,4,21,7,0,2,2,0,0,0,0,0,4,2,16,0,0,6,5,1,0,11,1,0,1,2,2,1,4,1,1,0,4,4,0,2
16,5,6,5,0,1,1,0,0,0,0,0,4,3,2,0,0,6,5,0,1,22,0,0,0,2,1,0,19,1,0,3,2,2,0,1
58,25,15,18,0,15,3,7,0,4,0,0,5,2,33,0,0,36,15,3,17,15,0,0,3,4,3,0,5,3,1,3,8,8,0,1
776,73,523,180,3,31,11,2,16,1,6,0,87,18,339,0,2,255,147,44,9,621,0,0,158,33,89,4,337,43,21,5,142,125,17,19
103,12,74,17,1,9,4,1,2,1,1,0,25,8,65,0,0,43,23,6,14,48,0,0,2,7,6,1,32,5,0,4,34,34,0,1
130,34,72,24,0,13,5,0,4,4,2,0,16,9,84,2,1,65,35,4,26,84,0,0,9,20,10,0,45,2,1,0,31,31,0,1
175,53,77,45,1,13,6,3,1,3,1,0,28,19,131,0,5,153,82,19,46,316,2,1,113,17,49,4,130,27,10,17,31,31,0,13
44,12,27,5,0,5,1,1,1,2,1,0,7,0,25,0,0,37,18,1,17,51,1,0,3,14,13,0,20,5,0,2,11,11,0,2
59,23,27,9,0,2,1,0,0,1,1,0,27,16,62,0,0,81,38,16,27,217,0,0,61,10,10,0,136,12,3,7,64,64,0,7
23,5,16,2,0,6,3,1,1,1,1,0,10,3,18,0,0,24,17,1,5,36,1,0,2,5,5,0,23,4,0,2,6,6,0,0
41,18,11,12,0,3,1,0,0,2,0,0,10,1,19,0,0,18,5,2,11,31,1,0,0,5,1,0,24,4,0,3,4,4,0,2
34,1,26,7,2,2,1,0,0,1,0,0,15,8,16,0,1,34,7,8,0,93,2,1,26,11,38,1,14,17,2,4,9,8,1,0
192,36,89,67,2,18,2,1,5,9,0,0,8,15,68,2,0,78,48,3,27,129,2,2,21,40,18,1,45,8,4,5,23,23,0,4
433,120,278,35,7,61,16,0,38,7,4,0,141,34,234,0,7,170,105,65,0,840,31,0,125,73,170,0,441,88,38,0,54,54,0,48
25,8,12,5,0,1,0,1,0,0,0,0,12,1,15,2,0,18,10,2,3,26,0,0,2,4,10,0,10,5,0,0,2,2,0,1
16,3,9,4,0,0,0,0,0,0,0,0,14,6,19,1,0,42,37,0,4,12,0,0,0,4,0,0,8,3,0,2,7,7,0,2
233,55,114,64,0,36,18,2,6,7,0,0,54,12,110,4,0,70,43,5,20,190,4,0,50,34,21,0,81,15,3,6,118,118,0,15
138,23,89,26,3,9,4,0,1,4,3,0,28,5,47,0,0,46,25,3,18,145,2,0,18,6,23,3,93,9,0,0,12,12,0,5
41,7,27,7,1,4,2,1,0,1,0,0,21,1,42,0,1,33,19,0,13,42,0,0,2,4,3,0,33,7,0,1,9,9,0,4
20,7,11,2,0,10,4,0,6,0,0,0,16,4,28,1,2,40,3,6,0,42,0,0,9,7,4,1,21,9,0,0,10,7,3,2
"5,253",942,"3,021","1,290",81,181,58,12,92,8,31,1,755,167,"1,674",26,25,794,212,243,195,"2,874",31,8,372,649,856,315,642,492,361,91,428,428,0,433
14,1,12,1,0,8,2,1,1,3,0,0,2,2,12,1,0,20,7,1,11,14,1,1,0,8,2,0,2,1,0,0,2,2,0,1
6,1,5,0,0,0,0,0,0,0,0,0,4,1,17,1,0,11,8,0,3,21,0,0,0,4,0,1,16,1,0,1,0,0,0,0
95,20,65,10,3,14,9,0,5,0,0,0,45,15,44,0,1,74,35,2,37,129,0,0,23,13,0,2,91,16,5,5,31,30,1,7
265,41,173,51,1,19,4,5,6,2,1,0,33,14,107,1,0,136,77,8,51,248,10,0,77,16,27,0,118,22,7,13,52,52,0,20
22,4,16,2,0,2,0,0,0,0,1,0,4,1,7,0,0,17,5,4,6,8,0,0,1,1,0,0,6,1,0,2,0,0,0,0
102,14,59,29,0,11,3,0,4,3,3,0,12,14,52,0,0,47,35,2,10,102,1,0,25,15,11,1,49,6,0,6,35,35,0,6
30,8,15,7,0,9,5,1,2,1,0,0,6,12,21,1,0,50,28,4,18,66,0,2,12,16,5,0,31,3,1,5,1,1,0,1
21,2,11,8,1,2,2,0,0,0,0,0,5,0,9,0,0,7,5,0,2,13,0,0,1,0,2,0,10,3,0,0,6,5,1,3
47,10,27,10,0,5,1,1,0,2,0,0,18,11,22,0,0,32,12,0,16,33,0,0,9,5,1,0,18,3,0,2,19,19,0,1
41,6,31,4,1,1,1,0,0,0,0,0,12,7,37,0,0,33,23,10,0,110,3,0,15,3,11,1,77,2,1,0,4,4,0,1
140,28,77,35,0,14,5,0,4,3,0,0,17,7,61,0,1,57,37,3,14,97,0,0,31,10,8,6,42,6,1,4,11,11,0,7
572,184,325,63,5,37,14,1,7,15,3,0,87,20,162,1,0,45,38,2,5,248,2,2,69,45,10,0,120,24,18,15,152,152,0,17
48,11,29,8,0,5,0,2,2,1,0,0,6,2,11,0,0,15,11,1,3,12,1,0,1,3,2,0,5,3,0,1,4,4,0,2
258,51,164,43,4,28,17,6,2,3,1,0,21,24,83,2,0,124,69,4,49,332,2,3,118,26,33,1,149,18,7,17,99,99,0,8
65,28,24,13,1,5,3,0,0,2,1,0,6,2,21,0,0,7,7,0,0,24,0,0,7,2,0,0,15,2,0,0,6,6,0,3
13,4,7,2,0,1,1,0,0,0,0,0,2,0,13,0,0,10,9,1,0,7,0,0,0,2,2,0,3,1,0,2,5,5,0,2
47,8,28,11,0,9,2,0,4,3,0,0,4,4,10,1,2,15,10,0,5,22,0,0,3,3,1,0,15,7,0,0,11,11,0,3
18,4,11,3,0,1,0,1,0,0,0,0,0,1,4,0,0,6,4,1,1,5,0,0,0,1,0,0,4,0,0,0,5,5,0,3
51,13,32,6,1,7,1,3,0,3,0,0,5,5,48,0,0,29,19,4,5,32,0,0,0,4,5,0,23,8,3,1,52,52,0,2
87,15,50,22,1,4,2,1,0,1,1,0,8,5,42,1,1,40,33,0,7,54,1,1,13,8,5,0,26,9,2,1,17,17,0,6
116,31,74,11,0,11,2,1,0,8,0,0,25,18,58,1,3,112,45,5,58,145,0,1,4,23,30,3,84,11,3,6,35,35,0,3
4,1,0,3,0,2,1,0,0,1,1,0,3,0,4,0,0,1,1,0,0,3,0,0,0,2,0,0,1,0,0,1,0,0,0,1
178,37,113,28,4,22,5,6,7,4,0,0,25,22,51,0,1,109,58,5,46,239,2,1,66,8,32,2,128,10,1,3,56,56,0,11
391,84,252,55,3,13,13,0,0,0,5,0,72,30,166,0,2,138,129,9,0,438,4,0,71,15,45,2,301,22,7,0,51,51,0,13
146,42,94,10,0,3,1,0,0,2,0,0,9,2,45,0,1,15,9,0,5,64,1,1,27,0,3,0,32,10,6,2,41,41,0,6
330,128,164,38,3,32,13,9,3,6,0,0,51,31,161,1,0,80,56,4,16,257,4,3,86,24,6,2,132,21,9,19,47,46,1,12
151,17,102,32,0,17,6,4,4,3,0,0,36,15,59,2,6,143,53,12,42,278,3,2,79,39,62,6,87,15,2,3,33,33,0,4
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,103,212,32,4,25,12,4,3,4,0,0,41,6,114,0,2,69,41,5,22,172,3,1,20,31,22,0,95,11,3,6,54,54,0,16
48,7,33,8,0,3,0,0,3,0,0,0,15,24,30,0,1,63,30,4,29,112,1,0,4,10,11,1,85,1,0,10,11,10,1,4
11,0,10,1,0,1,0,0,0,1,0,0,6,3,21,1,0,7,6,0,0,19,1,0,3,4,0,0,11,0,0,1,4,4,0,2
10,0,5,5,0,0,0,0,0,0,0,0,1,2,13,1,0,13,5,1,6,6,0,0,0,1,2,0,3,1,0,1,1,1,0,0
145,16,81,48,1,22,6,0,6,8,1,0,33,33,54,1,1,102,59,7,32,172,2,2,18,19,13,3,115,5,0,6,12,11,1,1
28,9,14,5,0,2,0,0,1,1,0,0,13,1,24,0,0,15,5,4,6,30,0,1,10,5,5,0,9,6,2,1,1,1,0,1
26,8,14,4,0,2,1,0,0,1,1,0,16,13,16,0,0,45,38,1,5,49,0,0,20,1,14,0,14,8,0,3,7,7,0,2
267,58,193,16,1,23,12,3,5,3,1,0,56,17,131,7,0,102,44,9,48,338,2,0,61,177,44,1,53,25,7,10,37,37,0,10
36,9,21,6,0,2,0,0,1,1,0,0,5,13,23,1,0,41,24,0,16,46,0,1,3,9,1,0,32,3,1,5,37,37,0,3
35,19,7,9,0,3,0,0,1,1,0,0,5,2,16,0,0,18,8,3,7,36,0,0,3,7,2,0,24,2,0,4,1,1,0,2
25,7,8,10,0,4,2,0,1,1,0,0,3,8,10,0,0,31,12,4,13,25,2,0,0,5,5,0,13,1,0,1,4,4,0,0
81,17,48,16,0,8,2,2,1,3,1,0,27,10,69,5,1,43,30,2,10,99,0,0,7,10,28,1,53,11,0,9,13,13,0,4
351,105,185,61,6,33,12,6,9,6,2,0,102,33,198,1,0,152,91,10,50,886,11,9,379,56,102,2,327,59,16,14,154,151,3,11
11,6,2,3,0,2,1,0,0,1,0,0,2,1,12,0,0,5,5,0,0,11,0,0,2,1,0,0,8,4,0,0,1,1,0,2
46,6,31,9,0,3,0,1,0,2,0,0,14,15,29,2,1,76,38,5,33,157,0,1,60,18,17,4,57,4,3,5,13,13,0,3
388,141,181,66,3,42,15,5,10,11,0,0,48,27,164,6,0,115,78,7,29,408,3,6,126,67,63,0,143,33,9,24,119,119,0,17
4,1,3,0,0,0,0,0,0,0,0,0,2,2,9,0,0,3,2,1,0,10,0,0,0,5,1,1,3,5,0,1,0,0,0,0
102,27,66,9,0,9,3,0,1,5,2,0,22,10,41,1,0,39,24,3,11,78,3,2,12,11,10,2,38,7,3,6,15,15,0,4
98,20,46,32,0,14,1,0,9,4,0,0,22,9,46,0,2,46,16,6,23,163,0,0,91,3,13,0,56,6,0,8,15,15,0,1
5,1,4,0,0,2,1,0,1,0,0,0,4,0,3,1,0,2,1,0,1,14,0,0,0,5,1,0,8,0,0,0,4,4,0,0
19,2,15,2,0,4,3,1,0,0,0,0,3,0,28,0,0,9,8,1,0,73,0,0,2,4,9,0,58,2,0,2,3,3,0,1
95,26,50,19,0,8,5,0,1,2,0,0,15,15,66,2,1,57,37,3,17,131,1,0,12,16,10,3,89,15,1,4,18,18,0,7
125,28,67,30,1,24,4,5,7,4,1,0,30,3,71,2,2,33,13,3,17,60,1,0,6,18,2,0,33,12,0,4,16,16,0,9
17,7,9,1,0,0,0,0,0,0,1,0,10,1,33,0,0,0,0,0,0,78,0,0,4,6,27,4,37,3,0,4,0,0,0,2
87,29,36,22,1,5,2,0,1,2,0,0,11,1,58,0,3,45,25,3,17,104,0,0,7,19,43,0,35,16,6,5,14,14,0,3
181,58,106,17,0,10,2,0,5,3,1,0,46,20,134,2,1,199,116,15,67,330,3,3,108,39,55,7,115,45,10,12,72,71,1,9
"3,337",889,"1,844",604,69,91,37,3,45,6,6,0,717,129,"1,294",40,10,911,288,325,10,"2,727",5,0,606,384,784,220,722,365,230,72,487,487,0,133
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,17,1,0,2,2,0,0,0,0,0,18,12,2,0,0,16,4,9,2,157,0,0,83,3,20,1,50,6,0,3,3,3,0,0
251,74,137,40,2,37,15,4,5,12,0,0,38,19,88,0,1,87,59,7,21,197,1,0,19,39,28,0,110,5,3,6,79,79,0,12
18,2,15,1,0,3,0,2,1,0,0,0,5,0,1,0,0,9,3,3,0,9,0,0,0,2,0,0,7,2,2,0,0,0,0,0
636,91,477,68,6,64,18,11,27,0,1,0,98,24,183,7,5,110,43,29,1,377,0,4,124,118,51,5,75,17,12,10,91,70,21,23
15,1,11,3,0,4,1,0,3,0,0,0,2,0,4,1,0,12,6,2,0,6,0,0,0,2,1,0,3,0,0,0,3,0,3,1
8,0,8,0,0,1,0,0,1,0,0,0,1,0,8,0,0,6,3,2,0,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0
379,65,276,38,0,22,5,1,16,0,1,0,75,21,84,6,0,31,12,13,6,212,2,2,48,33,40,3,84,14,8,20,50,28,22,5
80,5,59,16,0,25,2,2,21,0,1,0,1,5,26,4,0,10,4,3,3,42,1,0,6,17,5,0,12,4,1,0,41,41,0,5
174,28,138,8,0,15,7,1,5,0,2,0,54,6,50,9,1,125,32,40,15,400,2,0,145,26,75,19,133,42,10,5,47,30,17,5
204,13,171,20,0,27,2,1,22,0,0,0,12,4,41,2,1,30,10,9,2,96,0,0,14,29,11,0,42,3,2,0,51,50,1,8
47,9,17,21,1,4,2,0,2,0,0,0,7,2,16,0,0,31,15,4,0,19,0,0,0,6,4,1,8,3,0,2,2,2,0,3
209,37,153,19,0,40,17,1,20,0,0,0,30,6,45,4,0,24,9,5,6,125,0,1,6,38,16,3,61,7,1,0,47,31,16,8
988,185,667,136,12,116,46,24,34,5,8,0,199,76,340,35,12,619,304,108,0,"1,811",13,4,362,338,620,69,405,138,46,26,104,101,3,28
11,2,8,1,0,1,1,0,0,0,1,0,3,2,8,0,0,7,0,1,1,13,0,0,1,0,3,1,8,3,0,1,3,3,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,47,217,35,0,42,13,8,17,0,2,0,33,15,88,29,1,164,70,37,0,502,1,2,238,103,57,31,70,18,11,13,49,34,15,18
12,0,12,0,0,4,1,1,2,0,0,0,0,0,6,0,0,1,1,0,0,14,0,0,2,5,0,0,7,0,1,0,1,1,0,0
45,1,32,12,0,8,4,1,3,0,0,0,1,1,9,2,0,18,7,5,0,40,0,0,20,4,1,1,14,1,1,1,8,8,0,2
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,17,53,4,0,5,1,0,2,0,1,0,6,2,10,1,0,5,2,1,1,15,0,1,4,1,2,1,6,3,0,1,14,14,0,3
39,5,23,11,0,4,1,0,3,0,0,0,6,0,27,0,0,31,13,10,3,30,0,0,1,3,1,0,25,6,0,2,24,23,1,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,11,4,0,0,0,0,0,0,0,0,4,0,5,2,0,3,1,0,0,9,0,0,1,1,3,0,4,1,0,0,6,6,0,2
51,7,41,3,2,12,4,3,5,0,0,0,18,0,25,2,0,35,13,11,2,86,3,0,23,23,21,0,16,11,0,2,3,3,0,6
"1,761",441,"1,265",55,16,100,35,22,40,0,27,0,446,56,553,13,0,256,73,113,13,"1,384",1,3,309,226,300,63,474,135,67,53,311,251,60,97
938,215,615,108,10,72,29,5,37,0,4,0,139,18,333,6,2,121,58,47,7,483,1,3,49,62,128,9,231,43,20,4,108,105,3,31
12,1,10,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,1,7,0,0,2,3,0,0,2,0,0,2,2,1,1,0
61,2,55,4,1,9,2,1,6,0,0,0,8,7,27,0,0,7,2,3,1,58,0,0,11,20,5,1,21,2,1,2,25,23,2,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,8,34,28,0,3,3,0,0,0,0,0,9,5,31,0,0,25,18,5,0,35,1,0,5,3,9,0,17,3,1,1,22,13,9,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,150,215,75,0,24,11,5,6,0,1,0,73,2,236,2,1,33,5,9,5,198,0,1,9,39,38,4,107,49,19,18,8,8,0,109
655,228,355,72,10,50,20,10,18,0,7,0,108,39,228,22,0,106,35,41,13,631,5,5,330,66,101,12,112,87,25,23,62,57,5,61
43,5,19,19,0,4,2,1,1,0,0,0,6,3,45,2,2,67,31,2,0,48,0,0,9,5,8,1,25,0,1,1,13,10,3,10
45,6,38,1,0,9,3,1,4,0,0,0,16,5,32,5,1,28,15,6,2,65,0,0,12,9,19,2,23,10,1,2,13,12,1,3
24,2,17,5,0,1,0,0,1,0,0,0,10,2,22,1,0,56,30,4,0,61,0,0,9,6,21,0,25,9,0,0,9,8,1,5
185,20,146,19,0,17,6,0,11,0,1,0,18,15,58,5,1,43,23,12,2,115,1,0,8,10,40,1,55,3,0,5,40,32,8,7
20,3,12,5,0,1,0,0,1,0,0,0,3,1,14,4,0,9,7,2,0,53,0,0,33,3,5,3,9,0,0,0,1,1,0,1
59,7,44,8,0,4,2,0,2,0,0,0,20,4,33,7,1,113,43,15,0,107,0,0,13,37,40,4,13,7,1,2,13,10,3,6
710,42,623,45,8,56,24,7,22,0,2,0,90,37,175,8,9,194,85,98,8,"1,076",5,11,668,31,120,23,216,71,8,1,134,104,30,44
28,4,20,4,0,4,3,0,1,0,0,0,5,1,6,0,0,11,5,3,0,15,0,1,1,3,2,0,8,1,0,0,3,2,1,1
20,3,3,14,0,2,0,1,1,0,0,0,4,2,5,1,1,35,25,2,0,19,0,0,0,7,4,0,8,2,1,3,3,2,1,1
135,9,80,46,0,5,0,1,4,0,0,0,41,10,38,13,2,267,106,28,0,273,0,0,84,28,50,11,100,16,1,5,33,23,10,22
53,10,40,3,0,4,0,2,1,0,0,0,0,1,5,1,0,9,3,2,0,25,0,0,19,1,1,1,3,1,0,0,8,8,0,0
83,10,73,0,0,4,1,1,2,0,0,0,10,3,28,1,0,22,5,6,1,36,0,0,1,13,11,4,7,5,0,0,6,4,2,0
7,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,6,0,0,1,2,2,0,1,1,0,0,2,2,0,0
133,41,75,17,0,14,3,2,8,1,0,0,37,3,69,4,0,15,5,4,5,81,0,1,8,5,25,0,42,8,3,2,4,4,0,8
29,3,18,8,2,3,0,0,3,0,0,0,0,1,6,2,0,7,5,2,0,14,0,0,1,2,3,0,7,2,0,1,14,14,0,5
57,4,46,7,0,8,1,2,4,0,0,0,8,10,36,6,0,28,12,5,0,144,1,0,75,17,28,7,16,4,0,2,8,8,0,4
38,5,33,0,2,6,2,3,1,0,0,0,6,1,18,0,0,8,2,3,2,39,0,0,3,10,5,0,20,4,1,0,7,7,0,1
18,2,10,6,0,0,0,0,0,0,0,0,0,2,13,1,0,2,1,1,0,15,0,0,3,3,2,1,6,1,0,1,0,0,0,0
371,59,263,49,1,22,6,5,10,0,7,0,54,14,81,6,6,83,53,25,4,214,1,3,11,23,65,22,89,35,4,5,26,21,5,18
116,14,79,23,0,13,3,3,6,0,2,0,13,4,36,2,0,18,11,2,1,88,0,1,10,8,31,1,37,7,0,2,7,7,0,1
271,74,160,37,2,12,6,2,4,0,0,0,59,7,106,1,0,14,5,5,0,101,0,0,9,10,19,2,61,13,8,2,11,6,5,4
541,96,394,51,5,42,11,4,21,1,0,0,,22,163,16,1,140,95,16,11,535,1,3,274,37,84,8,128,89,18,13,81,80,1,25
386,34,223,129,3,28,13,4,11,0,4,0,30,4,88,5,1,31,9,12,5,314,0,1,35,51,87,1,139,15,1,4,57,57,0,13
1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
23,2,13,8,0,5,2,1,2,0,0,0,7,1,12,0,0,19,13,4,0,19,0,0,0,4,3,1,11,4,0,0,2,2,0,0
837,83,652,102,1,52,21,7,22,0,5,0,70,22,131,30,5,481,168,53,1,929,2,4,390,133,157,45,198,57,6,22,188,135,53,44
28,5,12,11,0,1,0,0,1,0,0,0,8,0,9,1,2,9,7,1,0,14,0,0,1,2,2,0,9,1,0,0,6,5,1,0
82,8,63,11,1,5,1,3,1,0,0,0,4,3,34,2,0,20,14,3,0,68,1,1,26,11,6,1,22,5,0,0,7,5,2,2
91,11,68,12,0,1,0,0,1,0,1,0,23,0,36,2,0,7,3,1,1,45,0,0,5,3,9,5,23,1,0,1,3,3,0,3
5,0,5,0,0,5,3,0,2,0,0,0,0,1,3,1,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,1,7,7,0,2
9,0,8,1,0,0,0,0,0,0,0,0,2,0,5,1,0,1,1,0,0,12,0,0,1,0,0,0,11,0,0,0,0,0,0,0
