State,Agency Type,Agency Name,Population,Total Offenses,Crimes Against Persons,Crimes Against Property,Crimes Against Society,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/Abduction,Sex Offenses,Rape,Sodomy,Sexual Assault With an Object,Fondling,Incest,Statutory Rape,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,Fraud Offenses,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Impersonation,Welfare Fraud,Wire Fraud,Identity Theft,Hacking/Computer Invasion,Larceny/Theft Offenses,Pocket picking,Purse snatching,Shoplifting,Theft From Building,Theft From Coin Operated Machine or Device,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Animal Cruelty,Drug/Narcotic Offenses,Drug/Narcotic Violations,Drug Equipment Violations,Gambling Offenses,Betting/Wagering,Operating/Promoting/Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Pornography/Obscene Material,Prostitution Offenses,Prostitution,Assisting or Promoting Prostitution,Purchasing Prostitution,Weapon Law Violations,State Total
TEXAS,Cities,Edna,"5,924",196,41,112,43,35,3,31,1,1,1,0,0,0,0,0,0,5,1,0,0,4,0,0,1,0,11,6,27,0,0,10,1,5,3,0,0,1,0,52,0,0,8,2,0,11,0,31,3,2,0,0,38,35,3,0,0,0,0,0,1,0,0,0,0,4,879278
TEXAS,Cities,El Campo,"11,615",865,178,522,165,165,30,98,37,0,0,0,0,0,0,0,1,12,3,0,0,8,0,1,0,0,64,30,93,2,0,38,2,10,26,0,0,0,0,271,3,2,104,3,0,66,4,89,16,8,0,0,149,109,40,0,0,0,0,0,4,0,0,0,0,12,879278
TEXAS,Cities,Electra,"2,696",145,40,72,33,35,5,25,5,0,0,0,0,0,0,0,0,5,0,0,0,2,0,3,0,0,17,2,11,0,0,7,4,3,0,0,0,0,0,28,0,0,3,4,0,4,0,17,5,1,1,0,26,24,2,0,0,0,0,0,0,0,0,0,0,7,879278
TEXAS,Cities,Elgin,"10,475",233,38,160,35,36,3,31,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,0,25,9,30,0,0,18,3,13,0,0,0,2,0,69,0,1,19,2,3,8,2,34,4,3,0,0,32,21,11,0,0,0,0,0,1,0,0,0,0,2,879278
TEXAS,Cities,Ennis,"20,096",813,106,579,128,102,10,88,4,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,1,0,43,12,167,0,0,58,23,17,2,1,1,12,2,269,0,2,70,0,0,61,7,129,23,4,2,2,110,87,23,0,0,0,0,0,2,2,0,2,0,12,879278
TEXAS,Cities,Farwell,"1,314",31,4,13,14,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,2,0,0,0,0,0,0,5,0,0,0,0,0,1,0,4,1,0,0,0,14,12,2,0,0,0,0,0,0,0,0,0,0,0,879278
TEXAS,Cities,Fate,"15,378",219,49,124,46,46,4,35,7,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,16,7,9,1,0,33,6,10,17,0,0,0,0,55,3,0,0,2,0,23,8,19,3,0,0,0,36,36,0,0,0,0,0,0,1,0,0,0,0,9,879278
TEXAS,Cities,Floresville,"7,970",375,82,227,66,80,18,60,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,47,14,34,0,1,11,0,6,1,2,0,1,1,90,1,0,35,6,0,4,0,44,12,1,15,0,56,53,3,0,0,0,0,0,2,0,0,0,0,8,879278
TEXAS,Cities,Flower Mound,"79,052","1,449",212,"1,026",211,196,25,125,46,0,0,0,0,0,0,0,0,16,3,10,0,3,0,0,2,0,62,18,84,0,0,200,4,59,136,0,0,1,0,631,0,0,8,2,0,196,1,424,24,5,0,0,186,161,25,0,0,0,0,0,12,1,1,0,0,12,879278
TEXAS,Cities,Floydada,"2,711",105,46,53,6,39,15,17,7,0,0,0,0,0,0,0,3,4,2,0,0,2,0,0,0,0,10,6,13,0,0,3,3,0,0,0,0,0,0,18,0,0,0,0,0,1,0,17,3,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,879278
