State,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/Abduction,Rape,Sodomy,Sexual Assault With an Object,Fondling,Incest,Statutory Rape,Arson,Bribery,Embezzlement,Extortion/Blackmail,Welfare Fraud,Wire Fraud,Hacking/Computer Invasion,Pocket picking,Purse snatching,Theft From Coin Operated Machine or Device,Animal Cruelty,Gambling Offenses,Betting/Wagering,Operating/Promoting/Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Pornography/Obscene Material,Prostitution,Assisting or Promoting Prostitution,Purchasing Prostitution,State Total
NEW MEXICO,106.0,94.0,9.0,3.0,6.0,3.0,3.0,608.0,403.0,115.0,74.0,484.0,0.0,18.0,102.0,21.0,287.0,69.0,3.0,59.0,0.0,31.0,23.0,48.0,32.0,0.0,0.0,0.0,0.0,0.0,90.0,70.0,40.0,1.0,404268
NORTH CAROLINA,548.0,501.0,18.0,29.0,55.0,33.0,22.0,1596.0,1864.0,407.0,207.0,2443.0,69.0,280.0,1124.0,9.0,2160.0,398.0,84.0,1227.0,117.0,429.0,401.0,299.0,391.0,134.0,43.0,48.0,43.0,0.0,1129.0,223.0,171.0,9.0,126884175
NORTH DAKOTA,25.0,23.0,2.0,0.0,4.0,4.0,0.0,121.0,349.0,44.0,12.0,540.0,8.0,56.0,83.0,6.0,119.0,23.0,2.0,114.0,39.0,2.0,8.0,56.0,100.0,2.0,0.0,1.0,1.0,0.0,177.0,14.0,13.0,17.0,4905993
OHIO,484.0,478.0,1.0,5.0,2.0,1.0,1.0,2006.0,4172.0,400.0,0.0,3031.0,34.0,198.0,780.0,14.0,171.0,266.0,64.0,116.0,23.0,829.0,591.0,157.0,164.0,5.0,0.0,4.0,1.0,0.0,1266.0,74.0,432.0,0.0,181155392
OKLAHOMA,110.0,90.0,18.0,2.0,0.0,0.0,0.0,306.0,590.0,167.0,114.0,1014.0,44.0,90.0,365.0,6.0,606.0,97.0,32.0,366.0,12.0,70.0,74.0,131.0,52.0,1.0,0.0,1.0,0.0,0.0,252.0,23.0,8.0,1.0,35350832
OREGON,140.0,92.0,38.0,10.0,38.0,28.0,10.0,356.0,1129.0,369.0,211.0,1491.0,60.0,298.0,792.0,11.0,395.0,148.0,15.0,629.0,190.0,374.0,403.0,344.0,425.0,4.0,1.0,1.0,1.0,1.0,455.0,117.0,45.0,27.0,32451753
RHODE ISLAND,26.0,25.0,1.0,0.0,12.0,8.0,4.0,43.0,364.0,60.0,68.0,320.0,2.0,24.0,86.0,4.0,183.0,36.0,136.0,124.0,5.0,22.0,23.0,1.0,23.0,12.0,1.0,11.0,0.0,0.0,308.0,34.0,12.0,1.0,2079552
SOUTH CAROLINA,446.0,406.0,14.0,26.0,21.0,19.0,2.0,1031.0,1682.0,442.0,203.0,1497.0,25.0,205.0,537.0,7.0,1203.0,168.0,23.0,968.0,73.0,97.0,104.0,256.0,304.0,56.0,15.0,25.0,15.0,1.0,673.0,254.0,29.0,56.0,93345912
SOUTH DAKOTA,30.0,16.0,13.0,1.0,2.0,2.0,0.0,142.0,483.0,37.0,7.0,444.0,15.0,151.0,64.0,0.0,194.0,18.0,2.0,20.0,4.0,33.0,31.0,24.0,31.0,6.0,0.0,1.0,5.0,0.0,242.0,34.0,25.0,3.0,5622208
TENNESSEE,560.0,494.0,32.0,34.0,46.0,42.0,4.0,1865.0,2193.0,476.0,196.0,2545.0,24.0,396.0,806.0,28.0,2378.0,368.0,60.0,1282.0,71.0,700.0,216.0,275.0,459.0,34.0,3.0,9.0,20.0,2.0,811.0,388.0,61.0,113.0,239331100
TEXAS,882.0,804.0,48.0,30.0,314.0,248.0,66.0,1736.0,5111.0,1272.0,558.0,2987.0,27.0,532.0,1372.0,37.0,2036.0,330.0,26.0,682.0,301.0,1669.0,1144.0,885.0,1129.0,247.0,45.0,151.0,51.0,0.0,2138.0,1768.0,203.0,411.0,317419358
UTAH,75.0,62.0,5.0,8.0,74.0,74.0,0.0,944.0,1134.0,317.0,58.0,2154.0,16.0,113.0,170.0,4.0,160.0,148.0,1.0,569.0,0.0,85.0,206.0,48.0,2.0,15.0,1.0,2.0,12.0,0.0,450.0,318.0,42.0,0.0,11617760
VERMONT,18.0,11.0,6.0,1.0,6.0,6.0,0.0,128.0,248.0,27.0,4.0,101.0,1.0,28.0,49.0,1.0,99.0,19.0,2.0,38.0,7.0,8.0,30.0,7.0,38.0,0.0,0.0,0.0,0.0,0.0,86.0,27.0,1.0,0.0,1704078
VIRGINIA,475.0,419.0,41.0,15.0,43.0,39.0,4.0,1766.0,1733.0,605.0,523.0,2907.0,25.0,108.0,655.0,38.0,2598.0,485.0,93.0,1965.0,135.0,579.0,162.0,113.0,1372.0,47.0,23.0,18.0,6.0,0.0,1840.0,381.0,214.0,19.0,172260618
WASHINGTON,211.0,183.0,12.0,16.0,56.0,53.0,3.0,1192.0,2661.0,314.0,90.0,2710.0,60.0,189.0,858.0,13.0,309.0,469.0,28.0,602.0,250.0,554.0,566.0,234.0,177.0,0.0,0.0,0.0,0.0,0.0,676.0,321.0,105.0,192.0,81225600
WEST VIRGINIA,52.0,45.0,7.0,0.0,40.0,40.0,0.0,106.0,311.0,49.0,26.0,234.0,9.0,21.0,92.0,0.0,71.0,4.0,3.0,7.0,0.0,9.0,12.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,112.0,4.0,3.0,0.0,3445680
WISCONSIN,230.0,158.0,45.0,27.0,102.0,96.0,6.0,766.0,1275.0,328.0,140.0,1648.0,14.0,605.0,352.0,5.0,591.0,138.0,7.0,346.0,39.0,255.0,175.0,113.0,240.0,8.0,8.0,0.0,0.0,0.0,860.0,312.0,98.0,17.0,37072271
WYOMING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,4.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1782
